What is your gender?,Which category below includes your age?,What is the job title for your current position?,For which place do you have the strongest emotions?,How strong are these emotions?,What kind of feelings do you have for this place?,Why did you choose that place?,Is it where you lived as a child?,Are you proud of it?,Do you still live there?,Do you often find yourself telling other people about the place?,How does it make you feel when you talk about that place?,Is it important to you that others know about that place?,How much do you care other people's feeling about that place?,Do you often look at photos of that place?,Do you often collect things to do with that place?,Do you / did you take a lot of photos of that place?,Do you often wonder the history of that place?,Do you often research the history of that place?,Is there an area or landmark in that place that strongly represents it to you? What is it?,Is it a famous tourist attraction?,Why did you choose that area or landmark?,"When you thought of that area or that place, when images appeared in your mind, what's the weather and the season? Is it day or night? Is the image vivid or fuzzy? How many images appeared in your mind?",Are you part of an active community group in that place?,"If there is one or more active community groups, what are their main activities?",Do you think people in the community care about preserving the history of the place?,"Boo, how much is 3+5? We're nearly finished, we really care about your answers.",Have you ever thought about ways to record or share your feelings for that place?,In what ways do you currently record or share your feelings for that place?,"Imagine the most beautiful way to convey the feelings and experience of that place using an online website, what things would the website need to do or have?"
Female,50-59,Disability Program Expert,Breckenridge,Very strong,awe  pleasure  relaxation,I just returned from one of our 3x a year visit.,No,Not really,No,Yes,"at peace, an inner peace",Very important,A lot,Yes,Yes,No,Yes,No,Maggie Pond,Yes,We matched Maggie the beaver built her den last November during the Beaver Moon.,Seeing Maggie the beaver carry sticks from one side of the pond to under the ice at another end,Not a member,n/a,A lot,8,Yes,facebook,"pictures, links to restaurants, and resort activities"
Male,21-29,engineer,Home town (jodhpur),Fairly strong,"Actually i am emotionally attached to this location, where i spent 20 years of my life time. Simply i love shop where i used to eat on the way to school.",I am engaged to this place for past 20 years and spent my childhood and young age here,Yes,A lot,No,Yes,proud and extremely excited.,Fairly important,A lot,Yes,Yes,Yes,Sometimes,Yes,Yes my college and school,Yes,I love this place more than anything,thousands of image. it seems like day and winter and i am sitting on the bench outside the bakery and enjoying great piece of sandwich,Not a member,,Quite a bit,8,Sometimes,i used to record by camera and some of my old pictures and video already shared with my peers,Facebook and youtube
Male,30-39,installer,colorado,Fairly strong,All of my best and worst memories are there.,The majority of my life experience has been there.,No,Quite a bit,Yes,Yes,"Nostalgic, generally.",Occasionally,Not really,Sometimes,No,Sometimes,No,No,Capitol Hill,No,I used to live there.,"It's summer.  Day or night.  It's always warm and sunny.  The image is rather vivid, and there are quite a few images, 50+",Not a member,I have no idea,Quite a bit,8,Yes,In my head.  I also have various paper and documents from when I lived there.  And some photographs.,Lots of images.
Male,30-39,contract basis merchant navy,native place kerala india,Very strong,touchable,my native place,Yes,A lot,Yes,Sometimes,if i went for work i will be talkative about my place,Fairly important,Quite a bit,Sometimes,Sometimes,Sometimes,No,No,near by a big junction,No,for easy to get other guys to understand about my area.,"A lot images coming to our mind like the climate is the good example,in olden days my area is very calm and quit but now my area become more developed any how my native place is good enough than any other.",Active member,welfare of the people and members in the community,Quite a bit,8,No,when friends meets together.,share the feelings and images and videos etc
Female,30-39,Homemaker,California,Very strong,"A longing to be back there, it is home",It is home for me,Yes,A lot,No,Yes,Like a piece of my heart is being ripped out,Very important,A lot,Yes,Yes,Yes,Sometimes,Yes,the city of Benicia,No,"It is where I lived for a few years, and it is just beautiful, a little piece of heaven looking out onto the mystical bay, and the mountains in the distance.","The image that appears in my mind, is looking out our backyard with the hills all golden brown, it is summertime, and it's evening, a nice breeze blowing, seeing the ships coming into the bay en route to San Francisco",Not a member,Just town preservation,A lot,8,Yes,Just through talking and doing internet research and sharing,"Accurate pictures of the town, the historic homes, and the history of the town being the first capitol of California."
Female,40-49,personal shopper,"Las Vegas, NV USA",Fairly strong,"feels like home, I feel comfortable, I am happy here.",transferred with my husbands job,No,A lot,Yes,Yes,happy,Very important,Quite a bit,Yes,Yes,Yes,Yes,Yes,"no, not any one specific place or area",No,I love the whole city.,"day time, vivid, alot of images, the city the mountains, the desert.",Active member,"volunteering groups, couples meetup for ""date night""",A lot,8,Yes,"blogs, publish.us site",It would have to enable uploading pictures
Female,50-59,unemployed,when I am home in front of my computer in NM,Very strong,I have strong feelings like powerful feelings.,When I wake up in the morning the place that I will seek out eventually is to sit in my computer chair and start surfing the web I choose this place because the sun shines in my window and the birds are outside and at night I can see the moon clearly right here in this place where my computer is. I love it.,Yes,A lot,Yes,Yes,I feel proud. It feels like there is so much here in NM that is spiritual. I do tell others that it is really the Land of Enchantment. It is spiritual here,Very important,Not really,Sometimes,Yes,Sometimes,Yes,Sometimes,Outside there is an old cattle well that is unique,No,I think it is ghostly and I try to search the internet to look up things about it. It is fascinating,I imagine horses and guys stopping to give their horses water. I always think of this place as a whole. I wake up and get on my computer and peer out of the window I can see the old well and I do have a lot of thoughts about it vivid and I do take pictures of it and I do hope they appear in a magazine someday.,Occasional member,Main activities are karoke and ufo museum visators and there are caves like the caverens people visit. I love the place as a whole there is a living desert of animals. and zoos and it is quite different from the city life.,A lot,8,Yes,"I take pictures sometimes and I take them a lot when it snows too,it's awesome the spiritual feelings.","A open mind and to rekindle the past, like in the western days and imagine the dirt roads and horses and cowboys and old wagons."
Female,21-29,Line therapist,Home,Fairly strong,"A sense of order, peace, and safety.","My home is very important to me, when it is out of order I feel out of order.",No,Not really,Yes,Sometimes,"A little bit ashamed because it is so small and cramped, but at the same time I'm proud of it because its my own, personal nook.",Not important,Not really,No,No,No,Sometimes,Sometimes,No,No,n/a,"The weather is sunny and bright, but not too hot. There is a delicious stew cooking on the stove. The image is very clear.",Not a member,,No,8,No,None,Maybe a picture and text explaining why that place is important to me.
Female,30-39,,"Key West, FL",Fairly strong,I love Key West FL. It is my favorite place and makes me happy.,It is a place where I was very happy. It has a relaxing environment and is warm and sunny.,No,Quite a bit,No,Yes,I feel a longing to go back. i miss it.,Fairly important,Not really,Sometimes,No,Sometimes,Yes,Yes,The beaches,Yes,The beaches were very relaxing and sunny. I loved the beach.,It is summertime and warm. It is the daytime. The images are very vivid. 3-4 images appeared.,Not a member,,A lot,8,Sometimes,I speak to people about it sometimes.,The website would need lots of pictures to capture the beauty of the city. The pictures would explain the place almost entirely.
Female,21-29,Software,Beach,Fairly strong,I love to see waves,My mind becomes relaxed if I go to beach,Yes,A lot,No,Yes,Beach in mexico is awesome. It makes me feel happy,Very important,Not really,Yes,Yes,Yes,Yes,Yes,no,Yes,Its simply superb,2 to 3,Occasional member,jogging,Quite a bit,8,Yes,Will tell friends about the specialties of the place,images of the place
Male,21-29,Software Developer,Goa,Fairly strong,"Its the most amazing place, where loud fun and calmness stands together.",This place give me chance to set myself free from all the worries and spend time with my inner self.,No,A lot,No,Yes,"Talking about this make me relive the days i spend there, the picture from my memories stuck in front of me making me happy and proud.",Fairly important,A lot,Yes,Yes,Sometimes,Yes,Sometimes,St. Xavier church,Yes,"This place give me satisfaction and peace, making me close to what i want to be.","Countless images came in front of me, about the beaches there, the sunset point, night safari.   the weather is always use to be moderate perfect for the couples.",Not a member,Coastal entertainment group that entertain tourist on hourly ship ride,Quite a bit,8,Yes,"I have my collection of pictures from there that witness lot about that places, i express my feeling with my friends and family and people who want to know something amazing.","The Best way is by description of each place with the pictures of places to see, and reviews of the people who have been there.  along with the conveyance and the facility available there."
Male,18-20,Student,India,Average,yes,yes,Yes,Quite a bit,Yes,Yes,yes,Very important,Quite a bit,No,Yes,Yes,Yes,Yes,yes,Yes,no,yes,Active member,yes,Quite a bit,3,Yes,i dont know,yes
Female,30-39,bookeeper,rocky mountain national park,Very strong,"just beautiful, breathtaking, happy, joyful",because I travel there all the time,No,A lot,No,Yes,"lethargic, dreamy",Very important,Quite a bit,Yes,Sometimes,Yes,Yes,Sometimes,Estes Park,Yes,because it is in the Rockies,"flowers, beautiful mountains, colorado river",Not a member,,A lot,8,Sometimes,"thru videotaping, pictures","called beautiful places of America, will have pictures of it,  places to go hiking and tips."
Male,21-29,Owner,Indore,Very strong,"I did my MBA here, and am very nostalgic",I did my MBA here,No,Quite a bit,No,Yes,Nostalgic,Fairly important,Not really,Yes,Sometimes,Sometimes,Yes,Sometimes,IIM Indore,No,Studied and lived there,Monsoon or winter    Very clear,Occasional member,Alumni,Not really,8,Sometimes,My personal photo album,photo album
Male,21-29,Manager,My Home,Very strong,"I feel a strong sense of belonging. I feel safe, secure, and happy here.","I choose this place because I've been here my whole life, and it's my one and only place where I can relax, and be myself.",Yes,Quite a bit,Yes,Sometimes,"I feel a little guilty when I talk about it, and a little embarrassed. Mainly because it's very personal, and it doesn't look too good for someone my age to still be living there.",Not important,Not really,No,No,Sometimes,Yes,No,My room,No,It seemed like the only area that really represents my place.,"The images that popped in my mind was just the various furniture, and decorations in my room. I can't tell if it's day or night, but the image was very vivid.",Not a member,n/a,No,8,No,"I see this place all the time, so it's easy to remember how it looks, and how it feels to be there.","The website would have to be able to support video, and photos. Other than that, I think that would be all that I would need to accurately convey the experience of my place."
Male,21-29,Technician,"Detroit Lakes, MN",Very strong,"I still love DL, when our family lived there we lived on a lake. It was absolutely the best place to be a kid. The water and the outdoors were what any kid would love to have in the Summer.","Every time I think of where I live, I wish I could go back there and that has been true since we left.",Yes,Quite a bit,No,Sometimes,Nostalgic and a little hopeless because I cannot go back to a place I adore and stay .,Occasionally,Not really,No,No,Sometimes,No,No,Big Floyd Lake where our house was.,No,Walking out your back door and going fishing or swimming was the best thing I've ever experienced at a home,"Early Summer, warm but not hot, low humdity, and Twilight. On the lake casting for Largemouth Bass.",Not a member,n/a,A lot,8,No,Mostly I talk to other family members or friends about it.,Pictures and information on the activites available. Memoir might be cool too.
Female,21-29,Student,"Bokaro Steel City, India",Very strong,"This is one place in the world where I feel completely at ease, free from any kind of confusion or trouble. I remember all the good times spent here and my mood becomes perfectly alright. It makes me happy like no other thing.","I have spent the best times of my life there. Even today, visiting this place makes me feel like old times.",Yes,A lot,No,Sometimes,I love talking to people about my place and the good things it has. I tell them how peaceful and green the place is. I feel very proud in telling them about the wonderful things about the place.,Occasionally,Not really,Sometimes,Sometimes,Sometimes,No,No,The marketplace,No,I spent a great deal of time there hanging out with my friends and family.,The images of summer come to my mind. It's mostly of daytime. The images are vivid. Uncountable number of images come to my mind.,Not a member,,No,8,No,I mostly record details mentally only. I only share feelings in conversations.,It must have a slideshow of the photos of the place. It must have a section about the people of the place and special things or incidents related to them.
Female,60 or older,journalist,Florida Keys,Fairly strong,I loved the keys,Because my late husband and I had our happiest times there,No,Not really,No,Yes,Very sad,Very important,A lot,Sometimes,Sometimes,Yes,No,No,A lighthouse off the town of Islamorada,Yes,Because we used to fish there,"Weather is warm, water is beautiful and the image is vivid",Not a member,fishing,Not really,8,No,I just mention it to people,A lot of pictures
Female,21-29,Student,Home,Very strong,Depression; anger; sadness; resent; hostility,It is where I am located right now,Yes,No,Yes,Yes,Sad and angry.,Fairly important,Quite a bit,No,No,No,No,No,no,No,I chose my house because it is where I am living right now but not for long since we are getting evicted.,messy. stuff everywhere. cold weather and temperatures. day and night. vivid image of just my house in general.,Not a member,,No,8,Sometimes,I have told my boyfriend and friends about it.,trees; chipmunks; squirrels; birds; house.
Male,21-29,Software engineer,Chennai,Very strong,love,its my hometown,Yes,A lot,Yes,Yes,proud,Very important,A lot,Yes,Yes,Yes,Yes,Yes,shopping mall,Yes,i like to buy my favorite items there,day with great climate,Active member,to help poor people,A lot,8,Yes,Facebook,more no of visitors daiy
Male,18-20,student,collage,Fairly strong,"happiness,sadness",my friends are there,No,Quite a bit,Yes,Yes,no words to say that happiness,Very important,A lot,Yes,Sometimes,Yes,No,No,yes my class room,No,my happiness are there,yes it is a winter season it is a day and lots of images appeared,Occasional member,to improve our self,Quite a bit,8,Yes,to take albums and via social networks,photos of that place
Female,21-29,Student,Bush River Memorial Gardens,Very strong,"My strongest feeling associated with this place is sadness.  I also have a strong sense of longing from missing loved ones.  And when I leave, I have a sense of peace in the confidence that they are with God.","I chose this place because this is where my father, grandfather, grandmother, uncle, first love, and a friend are buried.",No,Not really,No,No,"I talk about the memorial gardens as a special place to my family.  At this place, they are together in some way.  We also visit this place to pay our respects to our beloved family members that have passed away.  It also a place we can go to try to feel closer to them.",Not important,A lot,No,No,No,No,No,"Yes, there is a columbarium where individuals who were cremated are laid to rest.  It is mostly round in shape and has a large set of stone praying hands on the top.  This is where my family was placed to rest and my father was the first person to ever be placed there.",No,This landmark is significant to me because I can see it from the road and it is the first thing I look at when I pull into the memorial gardens.,My images of this place are very vivid and always associated with day.,Not a member,,Not really,8,Sometimes,"When I share more feelings for this place, it is normally to other family members and friends.",The website would need to express how wonderful the staff at the funeral home that owns the gardens is.  It would also need to have resources for people who have lost a loved one and need to plan arrangements.
Male,30-39,Security charge officer,"San Antonio, tx",Fairly strong,I wanT to move back there,I lived there for a while,Yes,A lot,No,Yes,Like I miss it,Occasionally,Not really,Yes,Sometimes,Yes,Yes,Yes,The riverwalk,Yes,It's nice and relaxing,"Spring or summer, daytime, vivid",Not a member,,Quite a bit,8,No,None,"Picture from all around town, descriptions of things to do, a historty of the city"
Male,21-29,Attorney,"Old Town Alexandria, Virginia",Fairly strong,Fond memories of walking down by the pier when I was a little kid.,I was just there a couple weekends ago. I'm still close enough that I can drive there but it's kind of far away. I'd love to move back some day.,Yes,Quite a bit,No,Yes,Definitely makes me feel very happy.,Fairly important,Quite a bit,Yes,No,No,Yes,Sometimes,"The Torpedo Factory, it's like an old factory that was turned into an art exhibit.",Yes,It's one of the more fun places to go there.,The image that popped into my head was of the facade of the building and its logo. It's a bright vivid image. I also pictured the inside of the building with the artists milling about.,Not a member,"It's artist space, so various artists set up shop in there and sell their works.",A lot,8,No,"I don't really, I just like being there. I'm not much for journals or pictures.","It would need to incorporate the history of the place but also show how modern and fun it is now. There are tons of historic buildings there from the 1700s, and they're right in the middle of everything else. It's pretty extraordinary."
Male,21-29,Machine Operator,My old apartment,Fairly strong,Fond feelings. Remembering all of the fun events that happened there and all of the first time things.,All of the events and personal firsts,No,Quite a bit,No,Sometimes,"Mixed feelings, I had to move out because the landlord didn't do the necessary repairs.",Not important,No,No,No,Yes,Sometimes,No,A small fence by the beach,No,"I went there late at night to think about my life and how I had to improve it. I asked my girlfriend to be my girlfriend there, then asked her to be my wife there","Season is early or late winter, it's night, I think it was vivid. The images I remember are being out there when it was cold and being there in the car with my now wife.",Not a member,,No,8,No,I don't...,"Picture and video uploads, GPS locators, comment features, moderation"
Female,40-49,Translator,Germany,Very strong,Very positive,"Birth place, roots",Yes,A lot,No,Yes,happy,Very important,A lot,Sometimes,No,Yes,Yes,No,"Marienplatz, Munich",Yes,Town center,"midday, sunny, very vivid",Not a member,,A lot,8,No,n/a,"images, stories"
Female,40-49,General Manager,McRoberts KY,Very strong,I have very good memories of my childhood. Happy times. Times of fun and family.,Because it was the happiest times.,Yes,A lot,No,Yes,Very good and happy. It makes me smile.,Very important,A lot,Yes,Yes,Yes,Yes,Yes,No landmarks. It's just my family home and where I grew up and played as a child.,No,Because it is my fondest memories. It takes me back to a good time in my life.,Many memories appear in my mind. One memory in general is playing in the deep snow. Another good memory is riding my bike in the summer.,Not a member,No,Quite a bit,8,Yes,I am a writer. I write a lot about where I grew up and my childhood. I also write about it online in articles and forums.,It would need to have a forum or chat area. It would also need a place where we could write and post writings. It would need to be supervised because I hate sites that don't police their people and you see a lot of spam and adult material or posts. I would like to see an area where we could post pictures of our favorite places. It would be nice to look at other people's pictures.
Female,21-29,Administrative Assistant,Disney World,Very strong,I feel love and freedom and fun and excitement,Because I love to go to Disney World,No,A lot,No,Yes,I feel excited,Occasionally,Not really,Yes,No,Yes,Yes,Sometimes,Cinderella's Castle,Yes,Because it is the part of Disney World that is most recognizable.,"The season is Summer because i've only gone during the Summer and at night because it is most beautiful at night. I had a lot of images, very vivid.",Not a member,,A lot,8,Yes,I have photo albums online of my visits to Disney World,The website would need to have a lot of space for photos.
Female,30-39,manager,Turkey,Very strong,I have positive feelings.,This is where I met my fiance.,No,Quite a bit,No,Sometimes,I feel happy and nostalgic.,Not important,Not really,Sometimes,Sometimes,Sometimes,Yes,Yes,Cappadocia,Yes,That is where I got engaged.,It is summer without a cloud in the sky. The daylight sky is vividly full of hot air balloons.,Not a member,hiking,Quite a bit,8,No,I take photos whenever I go back.,I would like the website to have a photo slideshow.
Male,30-39,Marketing Executive,"Alleppey,India",Fairly strong,Very warm and nostalgic feelings,I feel a bond with it.,No,Quite a bit,Yes,Yes,It makes me filled with pride and even my heart races a little.,Occasionally,Not really,Yes,Yes,Yes,Yes,Yes,The beach,Yes,I have a lot of memories there with my friends.,"It was rainy , afternoon, kind of fuzzy . about three images appeared.",Occasional member,"Tour promotion, waste management etc.",Not really,8,Sometimes,I post links about this place in facebook.,"Showing real local people in beautiful locales of the town, enjoying and cherishing the life there."
Female,50-59,unemployed,the beach- Gulf Coast,Fairly strong,"I love it, brings back childhood memories and holds a special place in my heart.",It's the first thing that comes to mind. I grew up blocks from the beach and spent so much time there.,Yes,Quite a bit,No,Sometimes,It makes me feel good. I love it and I think anyone who visited my beach would fall in love with the area.,Occasionally,Not really,Sometimes,Sometimes,Yes,No,No,"Yes, Sunshine Skyway Bridge",No,"It is easy to find out about, it's huge, it pinpoints the location","It's sunny, the sky is blue, it's warm, there's a light breeze blowing off the bay. It's springtime and the image is crystal clear. I am going over the bridge and I'm way up in the air.  I can easily think of 15 or so, images and see them flash before my mind, and more if I think about it.",Not a member,"There are political groups, threatre and craft groups, water activity groups, all kinds of groups.",Not really,8,No,I don't aside from pictures I have taken many years ago. It's all in my mind.,"I suppose it would need pictures, video and sound. Jimmy Buffet would be a great song to play while my pictures flashed by. Also, the ability to add words to the picture you are showing like they do on some cards and comics, would be nice."
Female,40-49,server,home,Very strong,Love,Because it's where my children and family are,No,A lot,Yes,Yes,happy,Very important,A lot,Yes,Yes,Yes,No,No,no,No,because it makes me happy,It's best in the winter. Day. Image is vivid. Hundreds of images,Not a member,no,Not really,8,Yes,Facebook,Share pictures and videos
Male,21-29,b.tech student,thiruvananthapuram,Very strong,nostalgic..,"This is my home town,the place were i had born.aal my studies are completed from here.",Yes,A lot,Yes,Yes,I felt so proud of this place while i talk about tjis place.,Very important,A lot,Yes,Yes,Yes,Yes,Yes,"yes,here had a hanging iron bridge built by the british government during there time.",Yes,its so cool to live.also i  had a lot of nostalgic here.,The weather seems RAINY SEASON.its day.the image is fuzzy.a lot of images..,Active member,helping the poor people..,A lot,8,Yes,by writing in my blog.by conducting programs during festival seasons and capturing the videos of it and post it on my social network accounts.,have al lot of daily viewers.also had the options to communicate with the people and also have the option of posting videos and photos.
Male,21-29,teacher,home,Fairly strong,positive,i live there with wife and child,No,A lot,Yes,Yes,wonderful,Very important,Quite a bit,Yes,Yes,Yes,Yes,Yes,no,No,It's my home.,Images of my family,Not a member,n/a,No,8,Yes,photos,a place to upload photos and stories
Male,21-29,programmer,native,Very strong,"sad, spirited",emotionally attached with the place,Yes,A lot,No,Yes,pround and happy,Fairly important,Quite a bit,Yes,Yes,Yes,Yes,Yes,huge Beach,Yes,i spend a lot of time near that landmark,"winter, rainy",Occasional member,cycling,Quite a bit,8,Yes,photos,"use a video, photo blog"
Male,40-49,Manager,Goa,Fairly strong,Nostalgia and peace,It was by chance on a holiday,No,Quite a bit,No,Sometimes,Dreamy with a tendency to remember a lot,Not important,Not really,Sometimes,No,Sometimes,Yes,Sometimes,A River,No,It gave me a lot of peace of mind while walking beside it.,"Day, raining and lots of images of the place",Not a member,Tourism and community development,A lot,8,No,Photos,Lots of photos and people's experiences
Female,21-29,software developer,birth place,Very strong,I feel too much happy to be there.,"I like to play there, My friends are there, My family is there.",Yes,A lot,Yes,Yes,I feel enthusiastic and happy while talking about that place.,Very important,Quite a bit,Yes,Yes,Yes,Yes,Yes,No.,Yes,"Since , It is my birth place.",Its always a day time with blue sky over and clear sunlight.,Not a member,no.,A lot,8,Yes,I share photos in website with my friends .I talk to my friends about it and its history .,"The website may provide a way to share the images , videos and discussions about that place .It may provide easy way to download and upload images videos etc.It may provide facility to chat."
Male,30-39,Senior Executive,Mumbai,Very strong,This place belongs to me. I feel like a part of the place. There are so many memories close to my heart.,The place gave so much I had never hoped for.,No,A lot,Yes,Yes,It feels very Nice and personal.,Very important,A lot,Yes,Yes,Yes,Sometimes,Sometimes,It's not about a particular area,Yes,Almost all places are close to my heart,"Very nice whether in a day light, looking awesome in it's appearance.",Not a member,No,Quite a bit,8,No,nothing specific.,"photos, videos would be great."
Female,40-49,housewife,my old hometown,Very strong,"nostalgia, loving memories of growing up",It feels the most emotional for me,Yes,Quite a bit,No,Yes,warm and connected with myself,Fairly important,Not really,Yes,No,No,No,No,my old home,No,I grew up there,It is summer and I am by the lake with friends,Not a member,none,A lot,8,Sometimes,I talk about it with friends,"lots of pictures and color. Pictures of leaves in fall, the lake in the summer, and snow falling softly in winter"
Female,21-29,teacher,las angeles,Very strong,feeling pleasant and romantic,that place has such a wonderful creation with human inventions.,No,A lot,No,Yes,very jealous to go there as soon as possible,Very important,A lot,Yes,Yes,Yes,Yes,Yes,my relative house is there,No,i love them very much so i like that place too.,night time with colorful buildings. more than images with different styles,Not a member,don't know,A lot,8,Yes,"sharing with my friends and relatives, collecting those images from web",should have images and its history
Female,30-39,commercial sales manager,I'm kind of confused about this question. I have very strong emotions towards an old vacation spot from my childhood.,Very strong,I am nostalgic mostly. I am reflective and happy as well.,It's a place that I think of often.,No,A lot,No,Sometimes,It makes me happy to share this experience with others.,Occasionally,Not really,Sometimes,No,Sometimes,No,No,the lake we stayed on.,No,It's what I think of when I think of this place. I'm sure others have fond memories of it as well.,It's usually during a summer day. It's quite vivid. I also have thoughts of skiing.,Not a member,,Quite a bit,8,Sometimes,I like to keep scrapbooks.,"A website would need a way to submit pictures and videos, from others as well. It would also need a journal like option to write about things."
Female,21-29,DOMESTIC ENGINEER,DELHI,Very strong,ITS A SYMBOL OF LOVE I LIKE THIS PLACE VERY MUCH,IT LOOKS VERY BEAUTIFUL,No,A lot,No,Yes,VEY ANXIETY AND EXCITING,Fairly important,A lot,Yes,Yes,Yes,Yes,Yes,DELHI,Yes,DELHI TAJMAHAL IS NEAR AGRA,NIGHT TIME AND IN VACATIONS MANY IMAGES COMES IN MIND,Not a member,,A lot,8,Yes,SENDING MESSAGES OR MMS TO FRIENDS AND CHITCHATING WITH FRIENDS ABOUT THE PLACE,"IMAGES,HISTORY OF THAT PLACE"
Male,21-29,Software Engineer,My hometown NewDelhi,Fairly strong,Old time child memories..,Lived 10 years there and spent my childhood days..,Yes,A lot,No,Sometimes,feels comfortable..,Fairly important,A lot,Yes,Yes,Yes,Yes,Yes,Lal Quila...a monument,Yes,Reminds me off my childhood days...,Day...,Active member,,A lot,8,No,by noting it down,Facebook
Female,50-59,contractor,home,Very strong,It's the place I want to be. It's the place I love. I can't imagine leaving.,This is where my parents moved when I was a child.,Yes,A lot,Yes,Sometimes,"I feel good about where I live. I have strong positive feelings towards it, affection.",Fairly important,Quite a bit,Yes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,,,,
Female,30-39,SOFTWARE ENGINEER,KERALA,Very strong,"ENTHUSIASTIC,HAPPY, EAGERNESS",NATURAL AND CLEANLINESS,No,Quite a bit,No,Yes,VERY HAPPY,Very important,Quite a bit,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,NATURAL PLACES,Yes,NATURE,NATURE,Not a member,I DON'T KNOW,A lot,8,Sometimes,BY TALKING WITH FRIENDS,CREATIVITY
Male,40-49,Supervisor,Britain,Very strong,"Love, passion and respect",I was born there,Yes,A lot,No,Yes,proud,Occasionally,Quite a bit,Yes,Yes,Yes,Yes,Yes,Manchester Uniteds Football Stadium,Yes,I spent my entire childhood and youth going there to support my team and have so many happy memorys,Happiness...cheering fans...smiling faces,Occasional member,Following the team,A lot,8,Yes,I want to write a book about the fans,"History of the place, pictures, links to supporters, news"
Male,21-29,OWNER,OOTY,Very strong,VERY NICE,VERY NICE PLACE,Yes,A lot,Yes,Yes,NICE AND GOOD,Very important,Not really,Yes,Yes,Yes,No,Yes,RFGDEFDFDSF,Yes,YES,BO,Active member,DCVCXC,Quite a bit,3,Yes,YES,NO
Male,21-29,Mechanical Turker,Home,Fairly strong,I love it.,Its where I have lived my whole life.,Yes,Quite a bit,Yes,No,Makes me feel proud and good when i do.,Occasionally,Not really,No,No,No,Yes,No,,,,,,,,,,,
Female,30-39,Licensed Title Clerk,Home,Very strong,"Love, warmth",Most important to me.,No,A lot,Yes,Yes,Happy,Not important,Not really,Yes,No,Yes,Sometimes,No,No,No,Where my family grows,My kids come to mind. They are smiling and happy running around in the yard with the dog on a sunny day.,Not a member,no,Not really,8,Yes,Lot of pictures and scrapbooks,Would need to have the ability to post pictures and video with beautiful backgrounds.
Male,30-39,CEO,Santiago,Very strong,I love it,"I feel safe, I feel welcomed. I feel respected.",No,A lot,Yes,Yes,Proud,Very important,Not really,Yes,Yes,Yes,Yes,Sometimes,not really,No,didnt choose,"blue sky, kind people",Active member,,Not really,8 (do you really feel a bot would go through 4 pages of questions? do you expect to get answers in the millions so that you need to ensure unbiased humans rather than bots?),Yes,"i tweet, and facebook about it. i call my friends up.","i would not use yet anther service for this. i would just use facebook, where all my friends and family already are."
Male,30-39,,Not easy to pick one place. Different kinds of emotions for different places. Are you asking from a vacation point of view? or from a 'Where would I like to live' point of view?,Fairly strong,"Again, depends on the place and the situation -  I'd love to live in San Francisco because I have fond memories of working there and feel like its the best place to live for startups  I'd love to live in Austin because I went to school there and again have fond memories of it  I'd like to visit Bombay because I grew up there  There are lots of place I'd like to vacation / visit due to a variety of reasons ...    Very difficult for me to pick one particular place and one particular feeling.",See above,Yes,Quite a bit,No,,,,,,,,,,,,,,,,,,,,
Female,21-29,coo,"Brazil, Prague, Spain",Very strong,"Nostalgic, love, home, awesome memories",Bc I've lived there before and they're part of who I am,Yes,Quite a bit,No,Yes,Hard to put in words all of its beauty,Occasionally,Not really,Sometimes,Sometimes,Sometimes,Yes,Sometimes,I kinda like to get away from landmarks. Perhaps my feelings are more attached to people & specific moments/happenings of my life there.,No,"Can't choose one... areas and landmarks feel too still just by itself. Could think of occasions yes, like The Movie Festival of Sitges or The Rock Festival of Benicassim (both in Spain).","Many images, laughter, usually summer, friends and family, some nature, outdoors, festivals... mix of day and night, fuzzy.",Occasional member,"staying in touch, sharing resources & opportunities, meeting up for HH and such",Not really,35? hehe,Yes,"Facebook, photos, recommendations over a beer or by email to those going there",Allow me to record and share in less steps than current solution.
Female,30-39,,London,Fairly strong,When I think on London I remember the good moments I spent there,"During a couple of years of my live I went there really often because I was dating a guy living there. I have really good memories, and I also had a lot of fun.",No,Not really,No,Sometimes,Younger :),Occasionally,Not really,No,No,Sometimes,Sometimes,Sometimes,,,,,,,,,,,
Male,21-29,CEO,Hometown where I grew up,Very strong,"Sentimental, I miss it, etc",I didnt,Yes,A lot,No,Yes,Proud,Very important,A lot,Yes,Yes,No,Yes,Yes,Downtown,No,"History, importance to the country.","Day, sunny, skyline",Occasional member,,A lot,8,Yes,Blogging,"Stories, pictures, historical images and notes"
Male,21-29,Student,Canada,Very strong,"Deep attachment, affection, nostalgia",It is the place I feel strongest about,Yes,A lot,Yes,Yes,Proud and sometimes I worry I talk about it too much,Fairly important,Not really,Sometimes,Sometimes,Yes,Yes,Yes,,,,,,,,,,,
Male,30-39,Designer / CEO,Sierra Nevada mtns,Fairly strong,"Freedom, relaxation, safety, peace, happiness","Grew up there during teenage years, first place that came to mind",Yes,Not really,No,Yes,Happy,Fairly important,Not really,Sometimes,No,Sometimes,Yes,Yes,Yosemite,Yes,It's a place others will know very close by.,Summertime with sunshine coming through the pines swimming with my friends in the lake. Vivid images.,Not a member,,A lot,8,No,I don not record or share feelings about this place other than in conversation.,A terribly cliche poem/photo juxtaposition seems to be the only way off the top of my head.
